Vernier Format 2
Sin título.cmbl 7/05/2025 14:32:16 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.1	0.3860465	0.0460191666667	0.162318927469	-0.0523598775598	-0.436332312999	-2.29855553033
0.2	0.389991	0.0586672916667	0.206267125772	-0.0872664625997	-0.610865238198	-3.05459553192
0.3	0.3953075	0.082663	0.251203831019	-0.13962634016	-0.954113324424	-4.07647503533
0.4	0.4055975	0.114428611111	0.240956176698	-0.261799387799	-1.44959290652	-4.95964395775
0.5	0.419146	0.138772083333	0.137463337191	-0.436332312999	-1.95864727168	-5.76874412334
0.6	0.434238	0.149538472222	-0.0637461265432	-0.645771823238	-2.56951250988	-6.54660074058
0.7	0.450702	0.135866111111	-0.357463695988	-0.925024503557	-3.37430322052	-5.88913952081
0.8	0.4656225	0.0779372222222	-0.624426736111	-1.32645023152	-4.03849796364	-2.28670452923
0.9	0.469567	-0.0111951388889	-0.659705979938	-1.79768912955	-4.01425727959	3.01796516491
1	0.460992	-0.0781277777778	-0.449909606481	-2.19911485751	-3.26279607387	6.56383856036
1.1	0.449673	-0.102614166667	-0.208698032407	-2.46091424531	-2.35134635338	6.49650332687
1.2	0.438697	-0.105377222222	-0.10053128858	-2.63544717051	-1.75502552562	4.03472719057
1.3	0.4292645	-0.111093888889	-0.115074382716	-2.77507351067	-1.56110005317	1.455787748
1.4	0.417774	-0.128434444444	-0.14318132716	-2.93215314335	-1.58049260042	0.00942693268822
1.5	0.4035395	-0.145870277778	-0.118303240741	-3.08923277603	-1.64836651577	-0.416131742952
1.6	0.3877615	-0.155112222222	-0.0645242283951	-3.26376570123	-1.70169602069	-0.412091628943
1.7	0.3716405	-0.155874444444	-0.0362320216049	-3.43829862643	-1.69199974707	-0.809369506519
1.8	0.3565485	-0.156827222222	-0.0479961805556	-3.59537825911	-1.76956993605	-2.11567303618
1.9	0.341628	-0.168165277778	-0.0118170910494	-3.76991118431	-2.08469882877	-3.66303670172
2	0.3232775	-0.176549722222	0.200400925926	-3.99680398707	-2.57436064669	-4.31080164787
2.1	0.302526	-0.143726527778	0.555469444444	-4.27605666739	-3.11250383272	-3.15936915523
2.2	0.289149	-0.056595	0.818449344136	-4.6425758103	-3.38399949414	-0.315128892721
2.3	0.290178	0.0449234722222	0.82706404321	-5.00909495322	-3.11735196953	1.98369597854
2.4	0.3006395	0.124004027778	0.654611265432	-5.27089434102	-2.75858984551	2.12914008287
2.5	0.316932	0.178741111111	0.42511091821	-5.53269372882	-2.6228420148	1.39114592385
2.6	0.3383695	0.208086666667	0.200797916667	-5.79449311662	-2.53072741539	0.934613040806
2.7	0.360493	0.214470277778	0.0255662037037	-6.0388392119	-2.45800536323	0.723180407655
2.8	0.382102	0.208420138889	-0.0943911651235	-6.28318530718	-2.4046758583	0.681432562893
2.9	0.4028535	0.192985138889	-0.176832908951	-6.52753140246	-2.29801684846	0.350143214135
3	0.4213755	0.170309027778	-0.227211033951	-6.7369709127	-2.26407989078	-0.672005630204
3.1	0.436982	0.145632083333	-0.262702006173	-6.96386371546	-2.40952399511	-1.88403983298
3.2	0.4501875	0.121002777778	-0.329237654321	-7.20820981074	-2.68101965654	-2.54392512116
3.3	0.4621925	0.0849401388889	-0.437986651235	-7.48746249106	-3.04462991737	-1.83286505553
3.4	0.4690525	0.0305841666667	-0.514341203704	-7.83652834145	-3.19492215851	0.282807980647
3.5	0.468538	-0.0268683333333	-0.500076003086	-8.16814089933	-2.94766718115	2.04833780269
3.6	0.462707	-0.0751741666667	-0.420413194444	-8.42994028713	-2.6228420148	2.29074464324
3.7	0.452417	-0.111189166667	-0.329012692901	-8.67428638241	-2.43861281598	1.84498539756
3.8	0.4398975	-0.139057916667	-0.255119483025	-8.91863247769	-2.2737761644	1.39922615187
3.9	0.4241195	-0.160733611111	-0.198839429012	-9.12807198793	-2.1428764705	0.810716211189
4	0.4073125	-0.177311944444	-0.15562037037	-9.33751149817	-2.10893951283	0.237020021876
