Vernier Format 2
Sin título.cmbl 7/05/2025 14:36:04 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.033333	0.408856	-0.00828924955916	0.396339662865	0.0174532925199	0.349069341092	-7.90989340438
0.066666	0.4083415	0.00292982096488	0.474576192865	0.0349065850399	0.109084169091	-8.59834260047
0.099999	0.408513	0.020408704087	0.568998359077	0.0349065850399	-0.22689507171	-8.86863163344
0.133332	0.409542	0.0424466744667	0.620068269359	0.0174532925199	-0.50905945576	-8.46137999632
0.166665	0.4114285	0.0638843888439	0.608253588622	0	-0.785406017458	-8.14139656715
0.199998	0.4138295	0.0838929222626	0.558958262443	-0.0349065850399	-1.04720802328	-7.90746928749
0.233331	0.417088	0.101614766148	0.487236480792	-0.0698131700798	-1.3090100291	-7.7692946249
0.266664	0.4206895	0.116192411924	0.410893634498	-0.12217304764	-1.57081203492	-7.33295358512
0.299997	0.4248055	0.130341303413	0.291794030296	-0.174532925199	-1.81806948486	-6.19361864793
0.33333	0.4296075	0.137058453918	0.129342170164	-0.244346095279	-2.02169326716	-4.01191344905
0.366663	0.4340665	0.138916389164	-0.0346579848229	-0.314159265359	-2.07987149067	-2.09686110781
0.399996	0.43904	0.134343010097	-0.17995950195	-0.383972435439	-2.10896060243	-1.67264065247
0.433329	0.443156	0.125196251963	-0.261900029641	-0.453785605519	-2.15259427007	-2.33927279657
0.466662	0.4474435	0.114477394774	-0.269165105497	-0.523598775598	-2.29803982886	-2.19382578332
0.499995	0.450702	0.105616472831	-0.227956642443	-0.610865238198	-2.34167349649	-0.836320326237
0.533328	0.4543035	0.101471848052	-0.237841909592	-0.680678408278	-2.34167349649	0.121205844382
0.566661	0.4577335	0.0907529908632	-0.275120085708	-0.767944870877	-2.31258438474	0.0969646755053
0.599994	0.460306	0.0811774784415	-0.270117902331	-0.837758040957	-2.23986160534	-2.65440799197
0.633327	0.46305	0.0734599012657	-0.289054739399	-0.907571211037	-2.44348538765	-6.33906566119
0.66666	0.4652795	0.0634556345563	-0.352653928043	-0.994837673637	-2.79255472874	-6.32694507675
0.699993	0.4673375	0.0511646783135	-0.453054894386	-1.09955742876	-2.99617851104	-2.55744331646
0.733326	0.468881	0.032871162045	-0.539402107433	-1.20427718388	-2.92345573165	0.618149806349
0.766659	0.469567	0.013148464818	-0.560959135793	-1.29154364648	-2.87982206401	1.79384649686
0.799992	0.4697385	-0.0062883962173	-0.521298967594	-1.3962634016	-2.8216438405	3.07862844731
0.833325	0.4690525	-0.0224381410481	-0.447099914176	-1.4835298642	-2.66165372583	3.91494877354
0.866658	0.468195	-0.0364441144411	-0.360752701129	-1.57079632679	-2.55984183468	4.66642500871
0.899991	0.46648	-0.0461625449588	-0.279526771063	-1.65806278939	-2.35621805237	5.44214241276
0.933324	0.465108	-0.0543088764221	-0.219381470941	-1.72787595947	-2.15259427007	5.05428371074
0.966657	0.4628785	-0.0621693716937	-0.134701652353	-1.79768912955	-2.03623782304	4.90883669748
0.99999	0.460649	-0.0617406174062	-0.100877364759	-1.86750229963	-1.83261404073	4.59370150208
1.033323	0.458934	-0.0657423240899	-0.156854178735	-1.91986217719	-1.65807937019	2.35139338101
1.066656	0.4563615	-0.0724594745947	-0.213783789543	-1.97222205475	-1.64353481431	-0.666632144102
1.099989	0.454132	-0.0806058060581	-0.25761244389	-2.02458193231	-1.77443581722	-1.75748474354
1.133322	0.451045	-0.0907529908632	-0.268331408268	-2.09439510239	-1.81806948486	-1.13933493719
1.166655	0.447958	-0.0978988956556	-0.289292938608	-2.14675497995	-1.83261404073	-0.836320326236
1.199988	0.4446995	-0.109761097611	-0.314899353511	-2.21656815003	-1.84715859661	-1.22417902826
1.233321	0.4405835	-0.120194118608	-0.306443281613	-2.26892802759	-1.89079226425	-2.18170519888
1.266654	0.436639	-0.12976963103	-0.301679297445	-2.33874119767	-2.03623782304	-1.83020825017
1.299987	0.4320085	-0.14077432441	-0.273809990061	-2.40855436775	-2.0653269348	-2.61645175922E-13
