Vernier Format 2
Sin título.cmbl 7/05/2025 14:35:01 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.387933	0.111284444444	0.18781367284	-0.0523598775598	-1.16355283466	-3.52621150727
0.1	0.3932495	0.119240138889	0.221801373457	-0.10471975512	-1.32354134943	-3.88335758569
0.15	0.399252	0.1318835	0.25383587963	-0.174532925199	-1.5475252701	-4.18717415918
0.2	0.4062835	0.146918333333	0.245430262346	-0.261799387799	-1.74532925199	-4.46082454808
0.25	0.4141725	0.158828055556	0.187162608025	-0.349065850399	-1.9683435453	-5.13202215548
0.3	0.4224045	0.165592777778	0.111676141975	-0.453785605519	-2.26892802759	-5.51825705476
0.35	0.4306365	0.1715	-0.00232901234568	-0.575958653158	-2.56951250988	-4.97203364071
0.4	0.4398975	0.169213333333	-0.18563287037	-0.715584993318	-2.78283052957	-4.00779309717
0.45	0.448301	0.151968055556	-0.354645061728	-0.855211333477	-2.95736345477	-3.24825166343
0.5	0.455161	0.130721111111	-0.469719444444	-1.01229096616	-3.1028075591	-2.74727752629
0.55	0.4615065	0.105091388889	-0.579288888889	-1.16937059884	-3.1900740217	-3.1028075591
0.6	0.4659655	0.0728875	-0.68769382716	-1.32645023152	-3.37430322052	-3.99163264113
0.65	0.468881	0.0368725	-0.79832191358	-1.50098315672	-3.64579888194	-3.62532897096
0.7	0.4700815	-0.0077175	-0.876661419753	-1.69296937443	-3.85911690163	-0.921145994108
0.75	0.4683665	-0.056595	-0.833680555556	-1.90240888467	-3.77185043903	2.53719159781
0.8	0.4639075	-0.0957541666667	-0.68727037037	-2.07694180987	-3.51974732486	4.49799359696
0.85	0.4584195	-0.125766666667	-0.515929166667	-2.25147473507	-3.2773404843	5.34911094824
0.9	0.451045	-0.14749	-0.34384691358	-2.40855436775	-2.96705972839	5.47839459654
0.95	0.443156	-0.158351666667	-0.214269135802	-2.54818070791	-2.67617151972	4.52492769036
1	0.4350955	-0.1654975	-0.155779166667	-2.67035375555	-2.4919423209	3.15128892721
1.05	0.426692	-0.173024444444	-0.128466203704	-2.79252680319	-2.4046758583	2.47793659234
1.1	0.4176025	-0.177597777778	-0.123808179012	-2.91469985083	-2.26892802759	2.23552975178
1.15	0.4090275	-0.183790833333	-0.149427314815	-3.01941960595	-2.1428764705	1.33593103239
1.2	0.3994235	-0.193509166667	-0.161389969136	-3.12413936107	-2.11378764964	1.1990408666E-13
1.25	0.3894765	-0.200273888889	-0.16805941358	-3.22885911619	-2.1428764705	-1.33054421371
1.3	0.3795295	-0.209515833333	-0.185950462963	-3.33357887131	-2.26892802759	-2.19243520235
1.35	0.3685535	-0.219424722222	-0.188332407407	-3.45575191895	-2.4046758583	-2.25169020782
1.4	0.3575775	-0.229143055556	-0.161548765432	-3.57792496659	-2.48224604728	-2.44022886158
1.45	0.345744	-0.2392425	-0.0490680555556	-3.70009801423	-2.62769015161	-2.94658981741
1.5	0.3332245	-0.238956666667	0.165254012346	-3.83972435439	-2.79252680319	-3.19977029532
1.55	0.3212195	-0.224379166667	0.415093518519	-3.97935069455	-2.95736345477	-3.38292213041
1.6	0.310072	-0.1946525	0.625710339506	-4.13643032723	-3.12220010635	-3.79232035001
1.65	0.3016685	-0.159209166667	0.803562191358	-4.29350995991	-3.2773404843	-5.00974137147
1.7	0.294294	-0.120812222222	1.08590200617	-4.45058959259	-3.65549515557	-5.27369548674
1.75	0.28812	-0.0539272222222	1.39926003086	-4.66002910282	-3.98516845872	-2.14395383424
1.8	0.2879485	0.0315369444444	1.46516049383	-4.86946861306	-3.92699081699	2.11163292217
1.85	0.2920645	0.104138611111	1.2820683642	-5.06145483078	-3.66519142919	4.34716267395
1.9	0.2989245	0.162829722222	1.00586867284	-5.23598775598	-3.37430322052	4.0508876466
1.95	0.309043	0.204561388889	0.732156790123	-5.39306738866	-3.19977029532	2.23552975178
2	0.3201905	0.22981	0.57754212963	-5.55014702134	-3.16098520083	0.457879587714
2.05	0.331681	0.258012222222	0.503278395062	-5.70722665402	-3.18037774808	-0.721833702985
